Protocol,Info,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,label
Modbus/TCP,"Response: Trans:     9; Unit:   1, Func:   2: Read Discrete Inputs. Exception returned ",0,9,0,0,0,3,1,82,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    10; Unit:   1, Func:   2: Read Discrete Inputs",0,0a,0,0,0,6,1,2,0,3,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    10; Unit:   1, Func:   2: Read Discrete Inputs. Exception returned ",0,0a,0,0,0,3,1,82,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    11; Unit:   1, Func:   2: Read Discrete Inputs",0,0b,0,0,0,6,1,2,0,4,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    11; Unit:   1, Func:   2: Read Discrete Inputs",0,0b,0,0,0,4,1,2,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:    12; Unit:   1, Func:   2: Read Discrete Inputs",0,0c,0,0,0,6,1,2,0,4,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    12; Unit:   1, Func:   2: Read Discrete Inputs",0,0c,0,0,0,4,1,2,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:    13; Unit:   1, Func:   2: Read Discrete Inputs",0,0d,0,0,0,6,1,2,0,5,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    13; Unit:   1, Func:   2: Read Discrete Inputs",0,0d,0,0,0,4,1,2,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:    14; Unit:   1, Func:   2: Read Discrete Inputs",0,0e,0,0,0,6,1,2,0,6,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    14; Unit:   1, Func:   2: Read Discrete Inputs",0,0e,0,0,0,4,1,2,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:    15; Unit:   1, Func:   2: Read Discrete Inputs",0,0f,0,0,0,6,1,2,0,7,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    15; Unit:   1, Func:   2: Read Discrete Inputs",0,0f,0,0,0,4,1,2,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:    16; Unit:   1, Func:   2: Read Discrete Inputs",0,10,0,0,0,6,1,2,0,8,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    16; Unit:   1, Func:   2: Read Discrete Inputs. Exception returned ",0,10,0,0,0,3,1,82,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    17; Unit:   1, Func:   3: Read Holding Registers",0,11,0,0,0,6,1,3,0,0,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    17; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,11,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    18; Unit:   1, Func:   3: Read Holding Registers",0,12,0,0,0,6,1,3,0,1,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    18; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,12,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    19; Unit:   1, Func:   3: Read Holding Registers",0,13,0,0,0,6,1,3,0,2,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    19; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,13,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    20; Unit:   1, Func:   3: Read Holding Registers",0,14,0,0,0,6,1,3,0,3,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    20; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,14,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    21; Unit:   1, Func:   3: Read Holding Registers",0,15,0,0,0,6,1,3,0,4,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    21; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,15,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    22; Unit:   1, Func:   3: Read Holding Registers",0,16,0,0,0,6,1,3,0,5,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    22; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,16,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    23; Unit:   1, Func:   3: Read Holding Registers",0,17,0,0,0,6,1,3,0,6,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    23; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,17,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    24; Unit:   1, Func:   3: Read Holding Registers",0,18,0,0,0,6,1,3,0,7,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    24; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,18,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    25; Unit:   1, Func:   3: Read Holding Registers",0,19,0,0,0,6,1,3,0,8,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    25; Unit:   1, Func:   3: Read Holding Registers",0,19,0,0,0,5,1,3,2,0,0,,,,,,,1
Modbus/TCP,"   Query: Trans:    26; Unit:   1, Func:   3: Read Holding Registers",0,1a,0,0,0,6,1,3,0,8,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    26; Unit:   1, Func:   3: Read Holding Registers",0,1a,0,0,0,5,1,3,2,0,0,,,,,,,1
Modbus/TCP,"   Query: Trans:    27; Unit:   1, Func:   3: Read Holding Registers",0,1b,0,0,0,6,1,3,0,9,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    27; Unit:   1, Func:   3: Read Holding Registers",0,1b,0,0,0,5,1,3,2,0,0,,,,,,,1
Modbus/TCP,"   Query: Trans:    28; Unit:   1, Func:   3: Read Holding Registers",0,1c,0,0,0,6,1,3,0,0a,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    28; Unit:   1, Func:   3: Read Holding Registers",0,1c,0,0,0,5,1,3,2,0,0,,,,,,,1
Modbus/TCP,"   Query: Trans:    29; Unit:   1, Func:   3: Read Holding Registers",0,1d,0,0,0,6,1,3,0,0b,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    29; Unit:   1, Func:   3: Read Holding Registers",0,1d,0,0,0,5,1,3,2,0,0,,,,,,,1
Modbus/TCP,"   Query: Trans:    30; Unit:   1, Func:   3: Read Holding Registers",0,1e,0,0,0,6,1,3,0,0c,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    30; Unit:   1, Func:   3: Read Holding Registers. Exception returned ",0,1e,0,0,0,3,1,83,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    31; Unit:   1, Func:   4: Read Input Registers",0,1f,0,0,0,6,1,4,0,0,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    31; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,1f,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    32; Unit:   1, Func:   4: Read Input Registers",0,20,0,0,0,6,1,4,0,1,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    32; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,20,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    33; Unit:   1, Func:   4: Read Input Registers",0,21,0,0,0,6,1,4,0,2,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    33; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,21,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    34; Unit:   1, Func:   4: Read Input Registers",0,22,0,0,0,6,1,4,0,3,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    34; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,22,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    35; Unit:   1, Func:   4: Read Input Registers",0,23,0,0,0,6,1,4,0,4,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    35; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,23,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    36; Unit:   1, Func:   4: Read Input Registers",0,24,0,0,0,6,1,4,0,5,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    36; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,24,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    37; Unit:   1, Func:   4: Read Input Registers",0,25,0,0,0,6,1,4,0,6,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    37; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,25,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    38; Unit:   1, Func:   4: Read Input Registers",0,26,0,0,0,6,1,4,0,7,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    38; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,26,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    39; Unit:   1, Func:   4: Read Input Registers",0,27,0,0,0,6,1,4,0,8,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    39; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,27,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    40; Unit:   1, Func:   4: Read Input Registers",0,28,0,0,0,6,1,4,0,9,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    40; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,28,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    41; Unit:   1, Func:   4: Read Input Registers",0,29,0,0,0,6,1,4,0,0a,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    41; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,29,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    42; Unit:   1, Func:   4: Read Input Registers",0,2a,0,0,0,6,1,4,0,0b,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    42; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2a,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    43; Unit:   1, Func:   4: Read Input Registers",0,2b,0,0,0,6,1,4,0,0c,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    43; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2b,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    44; Unit:   1, Func:   4: Read Input Registers",0,2c,0,0,0,6,1,4,0,0d,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    44; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2c,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    45; Unit:   1, Func:   4: Read Input Registers",0,2d,0,0,0,6,1,4,0,0e,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    45; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2d,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:  2462; Unit:   1, Func:   3: Read Holding Registers",9,9e,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2462; Unit:   1, Func:   3: Read Holding Registers",9,9e,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2413; Unit:   1, Func:   3: Read Holding Registers",9,6d,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2413; Unit:   1, Func:   3: Read Holding Registers",9,6d,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2458; Unit:   1, Func:   3: Read Holding Registers",9,9a,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2458; Unit:   1, Func:   3: Read Holding Registers",9,9a,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2445; Unit:   1, Func:   3: Read Holding Registers",9,8d,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2445; Unit:   1, Func:   3: Read Holding Registers",9,8d,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2431; Unit:   1, Func:   3: Read Holding Registers",9,7f,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2431; Unit:   1, Func:   3: Read Holding Registers",9,7f,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2463; Unit:   1, Func:   2: Read Discrete Inputs",9,9f,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2463; Unit:   1, Func:   2: Read Discrete Inputs",9,9f,0,0,0,4,1,2,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2414; Unit:   1, Func:   2: Read Discrete Inputs",9,6e,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2414; Unit:   1, Func:   2: Read Discrete Inputs",9,6e,0,0,0,4,1,2,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2459; Unit:   1, Func:   2: Read Discrete Inputs",9,9b,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2459; Unit:   1, Func:   2: Read Discrete Inputs",9,9b,0,0,0,4,1,2,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2459; Unit:   1, Func:   3: Read Holding Registers",9,9b,0,0,0,6,1,3,0,8,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2459; Unit:   1, Func:   3: Read Holding Registers",9,9b,0,0,0,0b,1,3,8,0,0,0,0,0,0,0,0,0
Modbus/TCP,"   Query: Trans:  2446; Unit:   1, Func:   2: Read Discrete Inputs",9,8e,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2446; Unit:   1, Func:   2: Read Discrete Inputs",9,8e,0,0,0,4,1,2,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2432; Unit:   1, Func:   2: Read Discrete Inputs",9,80,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2432; Unit:   1, Func:   2: Read Discrete Inputs",9,80,0,0,0,4,1,2,1,0c,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2464; Unit:   1, Func:   1: Read Coils",9,a0,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2464; Unit:   1, Func:   1: Read Coils",9,a0,0,0,0,4,1,1,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2415; Unit:   1, Func:   1: Read Coils",9,6f,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2415; Unit:   1, Func:   1: Read Coils",9,6f,0,0,0,4,1,1,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2460; Unit:   1, Func:   1: Read Coils",9,9c,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2460; Unit:   1, Func:   1: Read Coils",9,9c,0,0,0,4,1,1,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2460; Unit:   1, Func:   2: Read Discrete Inputs",9,9c,0,0,0,6,1,2,0,4,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2460; Unit:   1, Func:   2: Read Discrete Inputs",9,9c,0,0,0,4,1,2,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2447; Unit:   1, Func:   1: Read Coils",9,8f,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2447; Unit:   1, Func:   1: Read Coils",9,8f,0,0,0,4,1,1,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2433; Unit:   1, Func:   1: Read Coils",9,81,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2433; Unit:   1, Func:   1: Read Coils",9,81,0,0,0,4,1,1,1,0c,,,,,,,,0
Modbus/TCP,"   Query: Trans:  2461; Unit:   1, Func:   1: Read Coils",9,9d,0,0,0,6,1,1,0,0,0,4,,,,,,0
Modbus/TCP,"Response: Trans:  2461; Unit:   1, Func:   1: Read Coils",9,9d,0,0,0,4,1,1,1,0,,,,,,,,0
Modbus/TCP,"   Query: Trans:    46; Unit:   1, Func:   4: Read Input Registers",0,2e,0,0,0,6,1,4,0,0f,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    46; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2e,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    47; Unit:   1, Func:   4: Read Input Registers",0,2f,0,0,0,6,1,4,0,10,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    47; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,2f,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    48; Unit:   1, Func:   4: Read Input Registers",0,30,0,0,0,6,1,4,0,11,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    48; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,30,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    49; Unit:   1, Func:   4: Read Input Registers",0,31,0,0,0,6,1,4,0,12,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    49; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,31,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    50; Unit:   1, Func:   4: Read Input Registers",0,32,0,0,0,6,1,4,0,13,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    50; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,32,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    51; Unit:   1, Func:   4: Read Input Registers",0,33,0,0,0,6,1,4,0,14,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    51; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,33,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    52; Unit:   1, Func:   4: Read Input Registers",0,34,0,0,0,6,1,4,0,15,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    52; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,34,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    53; Unit:   1, Func:   4: Read Input Registers",0,35,0,0,0,6,1,4,0,16,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    53; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,35,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    54; Unit:   1, Func:   4: Read Input Registers",0,36,0,0,0,6,1,4,0,17,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    54; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,36,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    55; Unit:   1, Func:   4: Read Input Registers",0,37,0,0,0,6,1,4,0,18,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    55; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,37,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    56; Unit:   1, Func:   4: Read Input Registers",0,38,0,0,0,6,1,4,0,19,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    56; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,38,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    57; Unit:   1, Func:   4: Read Input Registers",0,39,0,0,0,6,1,4,0,1a,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    57; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,39,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    58; Unit:   1, Func:   4: Read Input Registers",0,3a,0,0,0,6,1,4,0,1b,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    58; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3a,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    59; Unit:   1, Func:   4: Read Input Registers",0,3b,0,0,0,6,1,4,0,1c,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    59; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3b,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    60; Unit:   1, Func:   4: Read Input Registers",0,3c,0,0,0,6,1,4,0,1d,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    60; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3c,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    61; Unit:   1, Func:   4: Read Input Registers",0,3d,0,0,0,6,1,4,0,1e,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    61; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3d,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    62; Unit:   1, Func:   4: Read Input Registers",0,3e,0,0,0,6,1,4,0,1f,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    62; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3e,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    63; Unit:   1, Func:   4: Read Input Registers",0,3f,0,0,0,6,1,4,0,20,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    63; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,3f,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    64; Unit:   1, Func:   4: Read Input Registers",0,40,0,0,0,6,1,4,0,21,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    64; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,40,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    65; Unit:   1, Func:   4: Read Input Registers",0,41,0,0,0,6,1,4,0,22,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    65; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,41,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    66; Unit:   1, Func:   4: Read Input Registers",0,42,0,0,0,6,1,4,0,23,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    66; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,42,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    67; Unit:   1, Func:   4: Read Input Registers",0,43,0,0,0,6,1,4,0,24,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    67; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,43,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    68; Unit:   1, Func:   4: Read Input Registers",0,44,0,0,0,6,1,4,0,25,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    68; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,44,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    69; Unit:   1, Func:   4: Read Input Registers",0,45,0,0,0,6,1,4,0,26,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    69; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,45,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    70; Unit:   1, Func:   4: Read Input Registers",0,46,0,0,0,6,1,4,0,27,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    70; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,46,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    71; Unit:   1, Func:   4: Read Input Registers",0,47,0,0,0,6,1,4,0,28,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    71; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,47,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    72; Unit:   1, Func:   4: Read Input Registers",0,48,0,0,0,6,1,4,0,29,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    72; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,48,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    73; Unit:   1, Func:   4: Read Input Registers",0,49,0,0,0,6,1,4,0,2a,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    73; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,49,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    74; Unit:   1, Func:   4: Read Input Registers",0,4a,0,0,0,6,1,4,0,2b,0,1,,,,,,1
Modbus/TCP,"Response: Trans:    74; Unit:   1, Func:   4: Read Input Registers. Exception returned ",0,4a,0,0,0,3,1,84,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:    75; Unit:   1, Func:   4: Read Input Registers",0,4b,0,0,0,6,1,4,0,2c,0,1,,,,,,1
